date,app,platform,network,cdn,geography,stream_type,vst_p50_s,vst_p95_s,rebuffer_ratio_pct,rebuffer_rate,vsf_pct,ebvs_pct,avg_rendered_bitrate_mbps,downshift_frequency,total_watch_time_hours,avg_session_duration_min,dau,wau,mau,content_completion_25_pct,content_completion_50_pct,content_completion_75_pct,content_completion_100_pct,browse_to_play_pct,ad_fill_rate_pct,ad_start_failure_pct,vcr_ads_pct,ad_pod_dropoff_pct,churn_rate_pct,arpu_usd,cdn_cache_hit_ratio_pct,manifest_fetch_latency_ms,ttfb_ms,volume_weight
2026-08-06,App_A,Apple TV,Verizon,Cloudflare,Country,VOD Movies,1.28,3,2.48,0.3,0.4,1.29,5.26,1.56,5851,31,7275,14858,69242,94.5,82,49.9,41.1,73.9,93.3,0.46,77.7,2.9,4.61,4.2,95.7,106,103,2122
2026-08-06,App_B,Apple TV,Comcast Xfinity,Fastly,Country,FAST linear,0.7,4.03,0.12,0.49,0.67,1.62,4.2,2.57,3137,34.2,7936,24946,92945,70.6,73.3,54.4,40.3,66.5,85.5,1.4,83.8,4.2,4.02,6.98,94.7,44,160,3315
2026-08-07,App_A,Android TV,Wi-Fi,Cloudflare,Region,VOD Series,2.49,3.22,0.65,0.87,1.38,2.66,6.43,2.11,974,52,2612,15324,70790,92.5,65.2,67.5,32,72.2,87.8,1.19,60.3,5.2,4.69,6.54,96.7,299,142,4327
2026-08-07,App_B,WebOS,Cellular 4G,Akamai,Region,VOD Movies,1.94,4.05,1.6,1.06,1.95,2.33,3.72,1.85,1671,40.4,5097,17340,91656,80,67.4,47.9,34.9,44.7,90.3,2.58,77.4,7.6,5.51,6.4,91.5,173,127,852
2026-08-08,App_A,Desktop Web,Airtel,Cloudflare,Country,FAST linear,0.6,1.96,0.45,0.23,1.56,2.28,7.22,1.13,1703,31.2,8474,17152,38579,94.8,66.7,71.5,31.8,50,91.1,2.44,67.6,9.3,2.87,6.5,91.2,176,168,2723
2026-08-08,App_B,WebOS,Cellular 4G,AWS CloudFront,Metro,FAST linear,0.47,1.99,1.62,0.76,0.84,2.37,6.44,1.88,2401,29.5,5035,24353,58159,96.1,85.7,59.7,37.1,75.4,85.1,0.3,70,6.3,6.06,7.37,88.4,156,107,1023
2026-08-09,App_A,Tizen,Airtel,Fastly,Country,FAST linear,2.05,3.13,2.04,1.35,0.68,2.46,6.59,1.92,3579,13.8,8372,28375,32263,88.4,64.5,66.3,46.9,78,90,2.24,66.1,3.2,2.51,7,96.8,110,91,4320
2026-08-09,App_B,FireTV,Comcast Xfinity,Cloudflare,Country,FAST linear,2.25,4.41,0.79,0.29,0.27,1.16,4.89,1.57,3220,12.8,4280,25254,111503,75.2,56.4,48.1,48.4,59.9,92.1,1.6,62.9,10.7,3.62,5.52,94.9,129,54,3018
2026-08-10,App_A,WebOS,Comcast Xfinity,Fastly,Metro,FAST linear,2.07,4.3,0.78,0.34,1.37,2.82,5.44,1.47,5842,40.3,5338,26835,77590,84.1,78.1,63,33.6,50.4,80.9,0.57,85.6,6.9,2.97,2.02,89.1,295,183,3015
2026-08-10,App_B,Tizen,Broadband,AWS CloudFront,Region,VOD Movies,1.86,4.05,0.51,1.27,0.82,2.29,5.72,2.89,3053,11.5,6700,12106,43802,97.8,68.3,54.2,26.6,77,88.3,1.74,84.4,10.4,5.28,4.09,90.4,241,42,324
2026-08-11,App_A,Android,Comcast Xfinity,Akamai,Country,VOD Movies,0.72,1.8,1.81,0.87,1.36,0.7,4.66,0.86,1005,18.2,2739,16371,106000,72.9,71,69.3,26.6,68.2,92.9,1.15,60.4,3.4,2.4,5.83,97,210,71,2511
2026-08-11,App_B,WebOS,Comcast Xfinity,AWS CloudFront,Region,VOD Movies,1.26,3.11,1.42,0.17,0.19,2.91,3.45,1.71,5654,46.2,3323,10634,50330,95.8,80.8,51.3,53.8,52,81.7,1.08,76.1,7.2,3.69,4.6,95.1,189,36,2901
2026-08-12,App_A,Android,Wi-Fi,AWS CloudFront,Country,FAST linear,0.7,3.4,1.02,0.73,1.63,1.71,5.42,2.48,5796,31.9,4720,20194,103965,85.6,85.3,70.8,53.9,45,91.3,1.84,68.8,6.7,2.1,6.63,91,58,57,4181
2026-08-12,App_B,iOS,Verizon,Akamai,Country,VOD Movies,0.88,5.14,1.27,0.39,0.97,1.05,5.16,2.31,3119,43.4,6666,27161,113483,91.3,65.5,63.7,28,64,84.9,1.29,60.8,12.3,3.99,6.4,97,167,181,2988
2026-08-13,App_A,WebOS,Cellular 4G,Fastly,Country,VOD Series,1.21,1.88,1.17,0.73,1.19,2.47,6.2,0.12,5122,10.8,6189,9670,62312,79.5,57.3,44.4,34.8,79.1,91.1,2.24,72.6,10.8,1.83,6.29,92.9,154,88,4009
2026-08-13,App_B,Tizen,Airtel,Akamai,Metro,FAST linear,1.51,3.6,0.18,0.54,0.73,2.77,4.25,0.66,3618,46.1,7837,25458,105520,74.2,81.8,43.4,44.9,71.6,82.5,1.59,70.4,11.5,4.47,3.2,97.5,119,213,3392
2026-08-14,App_A,Apple TV,Verizon,AWS CloudFront,Metro,Live Sports/Events,2,2.54,0.58,0.28,0.47,1.37,8.38,1.13,4395,20.2,3956,25362,83633,81.7,69.5,53.2,33.1,50.3,97.8,1.86,69.9,3.2,4.54,6.55,93.5,226,32,1679
2026-08-14,App_B,Desktop Web,Jio,Akamai,Metro,VOD Series,1.9,3.27,1.58,1.57,2.05,2.98,3.07,3.06,1180,39.7,7494,31967,88966,79.9,64.6,70.9,44.1,68.3,93.8,0.7,68.6,9.5,6.14,5.45,92.3,159,212,4513
2026-08-15,App_A,Tizen,Cellular 4G,Cloudflare,Region,VOD Movies,1.37,3.23,0.49,1.03,1.83,2.79,4.53,2.36,4620,12.9,3909,24089,84386,81.8,57.9,56.8,38.2,54.6,84,1.42,87.7,2.5,4.62,6.67,89.2,207,208,3875
2026-08-15,App_B,Apple TV,Cellular 5G,Akamai,Metro,VOD Series,1.35,4.69,0.45,1.47,0.57,2.88,7.07,1.78,4747,34.3,8766,31988,63459,76.7,57.8,42.5,29,71.7,85.6,1.97,69.2,9.1,2.85,6.05,94.5,302,74,3261
2026-08-16,App_A,iOS,Cellular 5G,Cloudflare,Country,VOD Series,2.07,2.94,2.75,1.27,1.77,2.32,6.17,2.68,4258,44.3,8240,9294,30179,83.3,71.2,41.3,41.4,49.2,82.1,2.04,68.3,10.5,2,4.89,92.3,83,106,3621
2026-08-16,App_B,iOS,Jio,AWS CloudFront,Country,VOD Series,1.94,3.57,0.64,0.44,1.29,2.1,5.67,1.07,2001,23.3,6134,31974,44904,86.8,85.9,57.2,41.9,44.1,89.9,0.28,82.8,2.8,2.85,2.32,97.7,43,95,3459
2026-08-17,App_A,Desktop Web,Wi-Fi,Akamai,Country,Live Sports/Events,2.28,1.89,1.45,0.91,0.15,1.97,6.05,2.54,4500,16.1,2342,17924,105789,75,73.7,63.1,45.2,66.2,94.1,2.24,75.6,2.3,3.91,2.67,88.2,67,120,1210
2026-08-17,App_B,Android TV,Cellular 5G,Cloudflare,Region,Live Sports/Events,1.69,3.14,2.37,1.36,1.1,2.32,4.36,0.31,4547,17.7,4110,11883,101813,95.6,64,42.3,25.7,51.9,97,1.36,65,6.5,4.6,6.64,92.4,305,111,2832
2026-08-18,App_A,Tizen,Airtel,Akamai,Region,VOD Movies,1.81,4.64,0.83,0.86,1.96,1.48,4.75,2.27,1635,36.4,4652,26002,47481,88.6,83.3,46.5,30.2,41.7,88.7,0.9,88.1,9.9,5.64,3.8,90.2,78,177,4794
