date,app,platform,network,cdn,geography,stream_type,vst_p50,vst_p95,rebuffer_ratio,rebuffer_rate,vsf,ebvs,avg_rendered_bitrate,downshift_frequency,total_watch_time,avg_session_duration,dau,wau,mau,content_completion_25,content_completion_50,content_completion_75,content_completion_100,browse_to_play,ad_fill_rate,ad_start_failure,vcr_ads,ad_pod_dropoff,churn_rate,arpu,cdn_cache_hit_ratio,manifest_fetch_latency,ttfb,volume
2020-09-04,App_A,Android TV,T-Mobile,Akamai,Metro,FAST linear,1.79,4.82,1.99,1.01,1.91,2.44,4.46,2.41,4102,21.2,6547,31601,71512,82.6,60,42.5,31.2,50.9,81.4,1.56,65.8,10.6,6.15,2.39,86.8,239,170,11756
2020-09-04,App_B,FireTV,AT&T,Cloudflare,Region,VOD Movies,1.77,5.18,2.56,1.07,1.5,2.12,3.82,2.67,3357,20.8,5797,28111,75024,77.1,59.7,45.9,27,48.8,84.1,2.31,60.2,9.8,5.86,2.46,88.5,298,185,7462
2020-09-05,App_A,Android TV,Cellular 5G,AWS CloudFront,Region,Live Sports/Events,1.97,4.1,2.28,0.81,1.43,2.28,4.25,2.38,4067,21.3,6187,29508,79667,79.5,60.2,45.9,29.9,53.8,83.3,1.76,63,9,4.91,2.44,88.6,215,157,8050
2020-09-05,App_B,Android TV,Airtel,Cloudflare,Country,FAST linear,1.96,5.12,2.27,0.89,1.76,2.47,4.06,2.41,3726,20.2,5708,27208,65327,77,62.6,47.1,28.5,49.5,83.1,1.94,64,10.8,5.67,2.19,88.6,251,210,7221
2020-09-06,App_A,iOS,Cellular 4G,Akamai,Metro,FAST linear,1.75,4.31,2.35,0.75,1.56,2.44,4.42,2.64,3725,20.4,6852,32595,72238,78,64.5,45.2,28.7,51.4,79.7,1.67,63,9.3,4.97,2.35,86.7,305,184,8925
2020-09-06,App_B,Apple TV,Cellular 4G,Cloudflare,Region,VOD Series,2.23,4.9,2.34,0.95,1.94,3.16,3.59,2.02,3306,20.3,5843,28164,67801,78,62,45,28,46.7,80.8,2.12,59.8,11,6.21,2.47,89.6,298,200,7271
2020-09-07,App_A,Android,Airtel,Cloudflare,Metro,FAST linear,2.05,3.97,2.2,0.9,1.62,2.15,3.96,2.47,3816,21.6,6451,30786,67496,79.2,64.9,44.8,30.1,53.7,82.7,1.5,64,8.5,4.94,2.62,87.9,258,217,9063
2020-09-07,App_B,Android TV,Broadband,AWS CloudFront,Metro,VOD Movies,1.77,4.82,2.02,0.87,1.55,2.67,4.01,2.64,3284,19.4,5467,26323,62104,76.9,59.9,43.1,28.8,49.1,80.3,1.76,60.1,9.7,6.17,2.53,89.7,255,217,7174
2020-09-08,App_A,Tizen,Broadband,Cloudflare,Region,VOD Series,1.72,3.62,2.56,0.98,1.51,2.06,3.76,2.36,3179,19.6,6816,32556,79373,80.6,60.1,44,32,51,82.6,1.65,68,10.8,6.08,2.34,89.4,288,161,8391
2020-09-08,App_B,Apple TV,Jio,Akamai,Metro,VOD Movies,2.27,4.17,2.68,1.08,1.41,2.2,3.6,2.36,2936,19.9,5756,27898,66210,79.8,64.2,42.6,29,46.4,82.7,1.61,61.7,10,6.32,2.35,87.5,302,234,9775
2020-09-09,App_A,WebOS,T-Mobile,Cloudflare,Metro,FAST linear,1.6,3.98,2.47,0.93,1.86,1.95,3.81,2.08,3306,18.7,6432,30966,82696,80,61.9,45.8,28.5,49.4,83.9,1.73,65,9.8,6.08,2.33,86.4,231,191,8294
2020-09-09,App_B,Apple TV,Comcast Xfinity,Fastly,Region,FAST linear,2.24,4.63,2.73,1.01,1.64,2.85,3.52,2.51,3244,17.9,6057,28791,78371,83,59.1,44.3,27.5,49.7,84.9,2.02,59.8,11.6,6.35,2.18,89.3,311,220,7734
2020-09-10,App_A,WebOS,Wi-Fi,Cloudflare,Metro,VOD Series,1.55,3.66,2.59,0.9,1.6,1.95,3.83,2.29,3408,20.5,6143,29269,78142,79,62.4,45.2,31.4,49.7,84.1,2.01,65.1,9.3,5.05,2.44,87.4,257,218,10332
2020-09-10,App_B,iOS,Wi-Fi,Cloudflare,Region,VOD Movies,2.27,4.97,2.06,1.01,1.5,3.08,3.6,2.83,3500,19.5,5313,25552,64116,80.1,60.2,47.1,28.3,48.1,81.2,1.68,60.5,10.5,6.11,2.42,88.3,238,214,8689
2020-09-11,App_A,WebOS,Cellular 5G,Fastly,Metro,FAST linear,1.56,3.79,1.9,0.9,1.75,2.71,3.54,2.22,3777,19.9,6213,29910,68449,80.5,59,42.9,28.9,49.2,84.4,1.63,68.3,10.3,5.7,2.41,87.9,221,182,10958
2020-09-11,App_B,Tizen,Wi-Fi,Fastly,Country,FAST linear,2.16,4.05,2.14,1,1.65,2.54,3.83,2.65,3034,17.5,5298,25416,66577,79.2,64.6,47.5,29.1,49.7,82,1.63,58.7,9.6,5.67,2.29,86.8,309,219,9321
2020-09-12,App_A,Android TV,Jio,Fastly,Region,FAST linear,1.89,4.58,2.28,0.94,1.28,2.29,3.63,1.8,3310,19.2,6972,33459,74343,79,61,45.5,29.3,51.8,81.3,1.93,65,8.7,5.08,2.37,86.7,279,173,10259
2020-09-12,App_B,WebOS,Wi-Fi,Cloudflare,Country,FAST linear,2.04,4.6,2.46,1.05,2.1,3.16,3.77,2.67,3647,18.7,5681,27050,69044,77.4,60.8,45.4,28.6,47,79.5,2.07,61.2,10.1,6.21,2.13,86.5,268,245,8754
2020-09-13,App_A,Android,T-Mobile,AWS CloudFront,Country,FAST linear,1.82,4.36,2.33,1.06,1.44,2.35,3.78,1.96,3243,21.1,6845,33138,74431,78.3,61.7,42.9,28.3,50.4,82.8,1.95,67.3,10.9,5.22,2.4,87,230,201,8924
2020-09-13,App_B,Desktop Web,Comcast Xfinity,AWS CloudFront,Country,FAST linear,2.11,5.06,1.95,0.88,1.83,3.09,3.84,2.37,3037,19.3,5354,25855,60207,79.7,62.4,44.3,27.4,45.8,84.9,2.03,60.6,10.7,5.43,2.41,89.5,258,184,7014
2020-09-14,App_A,Apple TV,Broadband,Cloudflare,Metro,VOD Movies,1.79,4.3,2.41,1.02,1.87,2.36,3.82,1.76,3209,21.7,6135,29658,74345,81.6,65,42.8,29.6,51.1,82.8,1.81,65.8,10.4,4.93,2.56,88.8,215,192,10209
2020-09-14,App_B,Desktop Web,Airtel,Fastly,Region,FAST linear,1.9,4.08,2.76,0.95,1.97,2.97,3.63,1.97,3618,20.2,5585,26660,66850,83,62,47.1,27.1,48.5,84.5,2.14,60.6,11.4,6.56,2.55,87.8,293,177,9408
2020-09-15,App_A,WebOS,Comcast Xfinity,Fastly,Metro,VOD Movies,1.8,3.6,2.06,0.98,1.64,2.54,4.44,1.92,3634,20.6,6883,33088,73969,80.4,63.9,42.5,29.6,55.1,84.5,2.01,66.2,11.3,5.31,2.77,88.8,275,198,10664
2020-09-15,App_B,Desktop Web,Wi-Fi,AWS CloudFront,Country,FAST linear,1.91,5.11,2.71,0.85,1.45,2.17,3.69,2.46,3037,18,5591,26927,56740,79.9,61.6,43.1,26.3,45.7,82,2.03,60.8,12.6,6.53,2.28,87.7,246,226,7373
2020-09-16,App_A,WebOS,T-Mobile,AWS CloudFront,Country,VOD Movies,1.87,4.01,2.59,0.82,1.42,2.71,3.74,2.1,3968,18.7,6930,33434,73051,80.3,63.2,45.6,30.2,54.9,83,1.56,64.8,9.6,5.41,2.71,86.8,224,171,12029
2020-09-16,App_B,Apple TV,Verizon,Akamai,Metro,VOD Series,2.06,5.29,2.5,1.14,1.61,2.89,3.84,2.65,2995,16.9,5878,28401,76020,81.6,62.5,44.6,26.4,50.4,84.7,1.91,58.7,12,6.35,2.22,87.6,326,195,9554
2020-09-17,App_A,Android TV,Cellular 5G,Cloudflare,Country,VOD Movies,1.89,4.51,1.89,0.84,1.44,1.96,3.98,2.36,4113,20,6817,32534,79806,79.6,59.8,43.6,29.7,49.2,82.1,2.02,64.8,9,4.84,2.53,88.3,261,160,8280
2020-09-17,App_B,Android,Comcast Xfinity,AWS CloudFront,Metro,VOD Series,2.24,5.09,1.99,1.09,1.64,2.7,3.85,2.17,3487,17.1,5656,26926,65241,82.4,60.7,42.6,27.5,46.5,84.3,1.83,58.5,11.2,6.46,2.15,89.8,254,173,7873
2020-09-18,App_A,Tizen,Airtel,Fastly,Country,VOD Series,1.69,3.68,2.45,0.95,1.86,2.32,4.13,1.84,4127,21.7,6798,32677,79205,80.4,64,43.5,29.4,53.6,80.7,1.92,66.3,8.8,5.73,2.37,88.5,294,161,10409
2020-09-18,App_B,Tizen,Verizon,AWS CloudFront,Region,VOD Movies,1.99,4.44,2.37,1.1,1.88,3.14,3.35,2.14,3453,16.9,5733,27620,65537,82.6,59.1,47.1,29.2,47,84.9,1.75,61.6,9.6,5.81,2.13,86.6,238,198,9832
2020-09-19,App_A,Apple TV,Verizon,Akamai,Country,VOD Series,1.73,4.07,2.39,1,1.61,2.61,4.31,1.78,4183,19.9,6366,30437,66100,76.9,61.6,47,29,50.7,81.2,2.15,67.8,11.2,5.29,2.46,89.8,275,212,10197
2020-09-19,App_B,Android,Wi-Fi,Cloudflare,Region,VOD Movies,2.1,4,2.22,1.05,1.67,2.47,4.03,2.7,2815,19.3,5625,26956,61179,82.8,59.2,46.7,29.7,49,79.7,1.59,61.6,9.9,6.4,2.26,86.9,300,222,10050
2020-09-20,App_A,Android TV,Verizon,AWS CloudFront,Country,VOD Movies,1.95,4.09,1.79,0.75,1.35,2.45,4.47,2.22,3963,19.7,6160,29420,70205,81.4,60.1,47.4,30.5,49.3,84.7,1.67,63.8,11.1,5.22,2.62,87.8,212,168,9136
2020-09-20,App_B,Android TV,Comcast Xfinity,AWS CloudFront,Country,VOD Series,1.71,4.11,2.15,0.83,1.49,2.61,3.77,2,3658,17.8,5427,26235,61181,79.9,62.4,47.1,29.2,48.6,84.9,1.96,63.7,10.2,6.44,2.56,87.3,309,224,9280
2020-09-21,App_A,Apple TV,Airtel,AWS CloudFront,Country,VOD Series,1.93,3.8,2.1,0.74,1.8,2.65,3.69,1.77,3564,19.2,6396,30724,75241,79.2,64.2,44,30.8,54.1,80.8,1.55,64.8,10.3,5.25,2.38,86.5,253,218,10763
2020-09-21,App_B,Desktop Web,Jio,AWS CloudFront,Region,FAST linear,1.79,4.25,2.09,1.13,1.91,2.65,3.99,1.96,3203,17.3,5172,24896,54121,77.7,60.6,43.3,29.4,50.3,84,1.95,60.1,9.7,5.8,2.36,88.5,241,187,6589
2020-09-22,App_A,Android TV,Jio,Akamai,Country,VOD Series,1.67,4.32,1.77,0.85,1.91,2.49,3.79,1.8,4127,19.9,5858,27856,61877,78.7,63.3,42.5,28.9,52.7,79,1.68,66,8.6,5.26,2.71,89.3,269,183,8852
2020-09-22,App_B,FireTV,Comcast Xfinity,Akamai,Region,VOD Series,2.24,5,2.12,1.1,2.06,2.95,4.03,2.56,2973,18.8,5380,25600,68613,82.3,63.1,45.7,26.9,49.3,79,2.26,62,9.8,5.67,2.54,86.6,311,182,8997
2020-09-23,App_A,Android,Comcast Xfinity,Cloudflare,Metro,FAST linear,1.58,3.98,2.12,0.78,1.85,2.4,3.67,2.24,3169,19.9,6837,32621,84077,79.7,59.7,44.2,28.6,51.8,79.9,1.46,63.8,10.5,5.03,2.47,89.2,262,212,9599
2020-09-23,App_B,Tizen,Jio,Akamai,Metro,VOD Movies,2.1,4.85,2.4,1.03,1.96,2.42,3.79,2.84,3319,17.8,5673,27389,63905,81.9,63.9,45.9,27.5,51.1,81.2,1.61,62.7,12.3,5.37,2.43,86.7,244,211,7491
2020-09-24,App_A,Apple TV,Broadband,Fastly,Country,FAST linear,1.89,4.49,2.02,1.02,1.28,2.38,4.04,2.22,3966,20,5943,28347,70459,82.8,59.3,42.6,28.9,50.8,79,2.03,68.8,8.9,5.71,2.52,89.5,218,170,7883
2020-09-24,App_B,Apple TV,Jio,Fastly,Country,VOD Series,2.08,4.1,2.29,0.99,1.89,2.17,3.8,2.05,2685,18.1,5720,27550,67964,78,60.9,43.1,27.7,49.3,81.1,2.22,61.7,10.1,5.7,2.24,88.7,294,224,9910
2020-09-25,App_A,Tizen,Wi-Fi,AWS CloudFront,Region,Live Sports/Events,1.99,3.84,2.59,0.75,1.66,2.02,4.4,2.03,3288,19.9,6781,32300,86872,77.7,63.3,47.4,30.4,51.7,79.9,1.93,66.4,9.3,5.96,2.55,87.5,275,162,10593
2020-09-25,App_B,FireTV,Broadband,AWS CloudFront,Metro,FAST linear,1.75,4.87,2.23,0.82,2.08,2.52,3.94,2.28,2850,19.8,5812,28039,71713,83.2,64.6,44.6,29.3,46.5,81.6,1.87,60.8,9.7,5.97,2.48,87.5,331,219,9628
2020-09-26,App_A,Desktop Web,Airtel,Fastly,Region,VOD Series,2.01,4.65,2.31,0.88,1.75,2.51,3.68,2.44,3759,18.8,6484,31138,78625,78.5,63.6,45.8,28.8,53.4,83.6,1.89,67.8,9.5,6.01,2.55,86.9,266,194,10723
2020-09-26,App_B,Apple TV,Comcast Xfinity,Fastly,Region,VOD Movies,1.8,4.15,2.86,1.11,1.99,2.65,3.88,2.49,3153,19.1,5804,27571,73309,81.4,65.2,45.2,29.3,46.8,83.1,1.74,59.6,12,6.55,2.27,88.8,305,210,8078
2020-09-27,App_A,iOS,Cellular 4G,Cloudflare,Metro,FAST linear,1.71,3.79,1.93,0.93,1.73,2.28,3.76,2.02,4006,20.3,6514,31107,73176,77.6,62.9,43.7,29,52,81.5,1.56,64.3,10.6,5.66,2.54,88.7,269,198,9678
2020-09-27,App_B,Android,Comcast Xfinity,Cloudflare,Region,VOD Movies,1.92,5.1,2.39,1.1,1.59,2.67,3.32,2.12,3597,17,5108,24433,65759,82.9,59.5,42.8,27.1,46.6,82.9,1.94,64.4,10.7,6.24,2.56,88.2,308,237,6563
2020-09-28,App_A,Android TV,Cellular 5G,Fastly,Country,FAST linear,1.55,4.63,2.01,0.98,1.85,2.39,4.08,2.52,3131,19,6635,32088,67067,77.9,60,43.7,31.3,52.9,84.2,2.05,63.7,10.3,5.67,2.35,86.8,268,216,10285
2020-09-28,App_B,WebOS,Comcast Xfinity,Cloudflare,Metro,VOD Movies,2.02,5.07,2.36,1.06,1.84,2.48,3.81,2.61,3207,19,5825,27738,61954,79.5,65.2,42.8,28.3,47.5,81.7,2.22,62.3,9.7,6.37,2.45,89.3,275,210,8475
2020-09-29,App_A,WebOS,Verizon,AWS CloudFront,Region,Live Sports/Events,1.53,4.8,2.51,0.8,1.79,2.85,3.67,2.21,3294,17.6,6222,29655,72912,81.6,62.1,45.3,29,51.8,85.3,1.73,63.1,8.6,5.62,2.61,89.1,284,162,7738
2020-09-29,App_B,Desktop Web,Cellular 4G,AWS CloudFront,Metro,VOD Movies,1.89,4.64,2.81,0.84,1.84,2.36,3.9,2.68,2712,18.4,5144,24721,57100,83.2,63.6,47.5,26.9,48,84.5,2.04,64.1,11.3,6.4,2.42,87.5,296,192,9253
2020-09-30,App_A,FireTV,Airtel,AWS CloudFront,Metro,Live Sports/Events,1.63,4.75,2.23,0.76,1.29,2.29,4.51,2.41,3113,20.7,5850,28325,62427,82,61.8,43.6,31.2,54.4,82.1,1.71,63.5,10.8,6.01,2.57,89,281,199,9578
2020-09-30,App_B,Apple TV,Broadband,AWS CloudFront,Region,VOD Movies,2.03,4.84,2.49,0.83,2.09,2.68,3.35,2.72,2968,16.8,5423,25782,66856,77.7,59.6,43.7,28.6,49.5,84.6,2.09,64.7,11.7,5.48,2.56,89.1,267,236,7604
2020-10-01,App_A,Apple TV,Airtel,Fastly,Region,VOD Series,1.89,4.75,2.32,0.98,1.31,2.68,4.29,2.25,4036,19.3,5805,27691,64610,80.2,60.7,47.2,29.7,51,85.4,2.07,68,9.2,5.09,2.55,88.8,233,183,9850
2020-10-01,App_B,Desktop Web,Comcast Xfinity,Fastly,Country,VOD Movies,2.1,4.24,2.36,1.14,1.9,3.08,4.15,1.98,3361,17.6,5723,27676,59360,79,63.7,47.7,29.2,50.3,85,2.13,60.7,9.5,5.81,2.19,87.6,260,200,9636
2020-10-02,App_A,Apple TV,Airtel,Fastly,Region,FAST linear,2,4.06,2.62,1.06,1.29,2.51,4.21,2.56,4091,18.2,6101,29371,63482,81.1,60.6,42.9,31.9,51.2,83.9,1.93,66.7,10.6,5.81,2.5,89.2,261,221,8475
2020-10-02,App_B,Android,Cellular 4G,Fastly,Country,VOD Movies,1.75,4.44,2.27,1.11,1.42,2.57,3.35,2.22,2813,19,5805,27945,58580,83.3,63.5,46.5,28.3,49.6,82.5,1.84,58.7,10,6.2,2.41,87.6,238,173,9739
2020-10-03,App_A,WebOS,AT&T,Cloudflare,Region,VOD Series,1.61,3.84,1.86,0.78,1.53,2.59,4.16,1.87,3278,18.6,6232,29764,76642,80.2,61.7,46.5,30,50.3,85.3,1.62,64.2,8.6,5.95,2.59,87.7,295,161,8488
2020-10-03,App_B,Apple TV,Verizon,Cloudflare,Country,FAST linear,1.9,4.67,1.97,1.09,1.47,2.16,4.07,2.71,2687,18.8,5763,27649,61029,80.1,62.9,46.1,27.7,47.6,83.1,1.92,62.7,11.3,6.35,2.31,88.2,257,227,7622
2020-10-04,App_A,Desktop Web,Comcast Xfinity,Fastly,Country,Live Sports/Events,1.71,3.91,2.28,0.86,1.79,2.31,4.1,2.49,3685,20.4,6701,32336,82115,79.6,64.1,45.5,30.3,52.2,82.6,1.88,65.5,9.4,6.03,2.6,89.7,266,162,11404
2020-10-04,App_B,Apple TV,Cellular 5G,Cloudflare,Region,Live Sports/Events,1.84,4.64,2.06,0.84,1.66,2.13,3.66,2.86,2960,19.6,5068,24190,51662,80.2,62.7,44.7,26.5,46.8,83,1.9,62.6,11,5.35,2.33,87,245,232,8072
2020-10-05,App_A,Tizen,Airtel,Fastly,Country,Live Sports/Events,1.96,3.65,2.22,0.95,1.28,1.96,4.43,2.12,3560,20.2,6241,30094,65895,81.9,59.5,43.1,32.3,50.5,84.2,1.68,68.7,10.6,5.92,2.78,88.4,245,210,9798
2020-10-05,App_B,iOS,AT&T,AWS CloudFront,Region,FAST linear,1.69,4,2.12,1.1,1.79,2.31,3.59,2.34,3314,16.3,5140,24593,58666,77.8,61.8,44.6,30.1,49.5,82.3,1.72,60.5,11.6,6.42,2.42,89.5,313,219,7343
2020-10-06,App_A,iOS,Wi-Fi,Akamai,Country,FAST linear,2.05,4.02,2.4,1.02,1.27,1.99,4.31,2.4,3133,20,5778,27521,70503,77.8,62.7,43.9,31.2,55.3,80.9,2.02,68.9,9.7,5.14,2.43,89.5,236,163,8501
2020-10-06,App_B,Desktop Web,T-Mobile,Akamai,Country,VOD Movies,1.93,4.69,2.73,0.92,1.47,2.25,3.63,2.22,2875,19.4,5229,25032,58125,80.3,60,47.9,28.1,49.5,81.5,2.13,62.6,12.2,6.18,2.61,87.5,292,178,6761
2020-10-07,App_A,Desktop Web,T-Mobile,AWS CloudFront,Country,VOD Series,2.04,4.67,2.27,0.77,1.75,2.4,3.92,2.61,3359,19,6537,31211,77028,77.3,59.5,45.6,31.9,51.1,81.2,1.56,64.9,10,5.96,2.45,89.2,272,166,9603
2020-10-07,App_B,Android,Broadband,Cloudflare,Country,FAST linear,1.79,4.67,2.47,0.8,1.45,2.97,3.46,2.02,3259,18.4,5438,26237,55623,81.6,59.2,46.9,28.1,48.6,83.4,1.99,60.7,11,6.2,2.39,88,329,220,8018
