date,app,platform,network,cdn,geography,stream_type,vst_p50_s,vst_p95_s,rebuffer_ratio_pct,rebuffer_rate,vsf_pct,ebvs_pct,avg_rendered_bitrate_mbps,downshift_frequency,total_watch_time_hours,avg_session_duration_min,dau,wau,mau,content_completion_25_pct,content_completion_50_pct,content_completion_75_pct,content_completion_100_pct,browse_to_play_pct,ad_fill_rate_pct,ad_start_failure_pct,vcr_ads_pct,ad_pod_dropoff_pct,churn_rate_pct,arpu_usd,cdn_cache_hit_ratio_pct,manifest_fetch_latency_ms,ttfb_ms,volume_weight
2026-09-04T00:00:00Z,App_A,iOS,Comcast Xfinity,Cloudflare,Metro,Live Sports/Events,0.93,3.61,0.41,0.83,1.67,1.78,3.66,0.46,1844,21.3,8123,11288,100126,83,79.5,41.1,29.6,64.7,87.5,1.28,71,9.7,5.92,6.59,93.3,132,169,620
2026-09-04T00:00:00Z,App_B,Tizen,Cellular 5G,Akamai,Region,FAST linear,2.32,2.84,1.06,1.53,0.25,2.81,6.23,2.55,645,53.9,7459,28869,105825,74.4,78.6,64,50.7,61.9,98.8,1.76,77.6,6.7,4.25,3.54,90.9,71,165,2096
2026-09-04T01:00:00Z,App_A,Android,Jio,AWS CloudFront,Metro,VOD Series,0.51,3.27,0.87,0.63,1.08,2.99,6.18,0.14,761,26.1,6257,13683,53257,96.2,67.8,61.8,25,58.5,87.8,1.67,83.9,11.3,4.1,5.41,89,207,106,4324
2026-09-04T01:00:00Z,App_B,Android TV,Comcast Xfinity,AWS CloudFront,Region,Live Sports/Events,2.1,4.24,2.41,0.54,1.49,0.65,5.96,3,1655,32.1,6611,25615,115422,89.5,80.3,71.5,48.5,42.3,80.1,0.75,73.4,7.5,6.25,5.29,95.1,80,76,1235
2026-09-04T02:00:00Z,App_A,Android,Wi-Fi,Fastly,Metro,Live Sports/Events,0.57,2.62,1.41,1.43,0.98,1.43,3.4,2.88,5247,28.9,7744,13733,30268,71.7,79,71.5,27.4,68,90.7,0.69,69.8,4.4,5.23,2.83,97.3,277,96,768
2026-09-04T02:00:00Z,App_B,Android,Wi-Fi,Fastly,Metro,FAST linear,2.34,4.26,1.25,1.08,2.12,0.7,4.13,1.53,5725,50.9,8543,21948,86130,78.5,75.5,43.6,46,78,95.7,1.54,68.2,3,5.73,5.59,88.6,251,102,4471
2026-09-04T03:00:00Z,App_A,Android,Jio,Cloudflare,Region,VOD Movies,0.43,4.29,2.29,0.83,1.79,1.6,8.71,1.03,1626,53.2,2993,25870,49795,85.2,61.2,69.8,41.2,57.6,90,1.68,83.4,5,4.31,6.84,92.1,147,202,1772
2026-09-04T03:00:00Z,App_B,Desktop Web,Comcast Xfinity,Akamai,Region,Live Sports/Events,0.47,2.96,0.24,1.43,0.34,1.72,7.56,0.33,3097,39.9,4783,29289,99244,92.1,79.9,65.7,26.1,79.5,82.1,0.59,79.8,2.7,1.55,5.89,89.7,103,48,1550
2026-09-04T04:00:00Z,App_A,WebOS,Airtel,Cloudflare,Metro,VOD Series,2.43,3.1,2.51,0.19,1.92,2.88,7.04,1.95,2956,27.2,3159,18304,41216,97.4,57.8,42.1,43.4,69.3,96.7,2.07,82.9,3.2,3.41,3.91,97.7,220,159,3115
2026-09-04T04:00:00Z,App_B,Android,Wi-Fi,AWS CloudFront,Country,Live Sports/Events,2.34,3.48,1.63,0.43,0.81,2.14,3.25,2.95,3730,35.2,5719,11003,101810,82,81.2,48.7,28.1,78.6,91.1,1.08,79.5,12.5,1.52,3.68,90.6,280,39,4796
